x_0, y
0.221151, 1.855669
0.222192, 1.854330
0.223232, 1.852986
0.224272, 1.851636
0.225312, 1.850280
0.226352, 1.848920
0.227391, 1.847553
0.228431, 1.846181
0.229470, 1.844804
0.230508, 1.843421
0.231547, 1.842032
0.232585, 1.840638
0.233624, 1.839239
0.234662, 1.837834
0.235699, 1.836424
0.236737, 1.835008
0.237774, 1.833587
0.238811, 1.832160
0.239848, 1.830728
0.240885, 1.829290
0.241922, 1.827847
0.242958, 1.826398
0.243994, 1.824944
0.245030, 1.823485
0.246066, 1.822020
0.247102, 1.820550
0.248137, 1.819075
0.249173, 1.817594
0.250208, 1.816108
0.251243, 1.814616
0.252277, 1.813119
0.253312, 1.811617
0.254346, 1.810109
0.255380, 1.808596
0.256414, 1.807078
0.257448, 1.805554
0.258482, 1.804025
0.259515, 1.802491
0.260549, 1.800952
0.261582, 1.799407
0.262615, 1.797857
0.263648, 1.796301
0.264680, 1.794741
0.265713, 1.793175
0.266745, 1.791604
0.267777, 1.790027
0.268809, 1.788446
0.269841, 1.786859
0.270873, 1.785267
0.271905, 1.783670
0.272936, 1.782067
0.273967, 1.780460
0.274998, 1.778847
0.276029, 1.777229
0.277060, 1.775606
0.278091, 1.773977
0.279121, 1.772344
0.280152, 1.770705
0.281182, 1.769061
0.282212, 1.767412
0.283242, 1.765758
0.284272, 1.764099
0.285301, 1.762435
0.286331, 1.760766
0.287360, 1.759091
0.288389, 1.757412
0.289419, 1.755727
0.290447, 1.754037
0.291476, 1.752343
0.292505, 1.750643
0.293534, 1.748938
0.294562, 1.747228
0.295590, 1.745513
0.296618, 1.743793
0.297646, 1.742069
0.298674, 1.740339
0.299702, 1.738604
0.300730, 1.736864
0.301757, 1.735119
0.302785, 1.733369
0.303812, 1.731615
0.304839, 1.729855
0.305866, 1.728090
0.306893, 1.726321
0.307920, 1.724546
0.308946, 1.722767
0.309973, 1.720982
0.310999, 1.719193
0.312026, 1.717399
0.313052, 1.715600
0.314078, 1.713796
0.315104, 1.711987
0.316130, 1.710174
0.317155, 1.708355
0.318181, 1.706532
0.319206, 1.704704
0.320232, 1.702871
0.321257, 1.701033
0.322282, 1.699191
0.323307, 1.697344
0.324332, 1.695491
0.325357, 1.693635
0.326381, 1.691773
0.327406, 1.689906
0.328431, 1.688035
0.329455, 1.686159
0.330479, 1.684279
0.331503, 1.682393
0.332527, 1.680503
0.333551, 1.678609
0.334575, 1.676709
0.335599, 1.674805
0.336622, 1.672896
0.337646, 1.670983
0.338669, 1.669065
0.339693, 1.667142
0.340716, 1.665214
0.341739, 1.663282
0.342762, 1.661346
0.343785, 1.659404
0.344808, 1.657458
0.345830, 1.655508
0.346853, 1.653553
0.347876, 1.651593
0.348898, 1.649629
0.349920, 1.647660
0.350942, 1.645687
0.351965, 1.643709
0.352987, 1.641726
0.354009, 1.639739
0.355030, 1.637748
0.356052, 1.635752
0.357074, 1.633752
0.358095, 1.631747
0.359117, 1.629737
0.360138, 1.627723
0.361159, 1.625705
0.362181, 1.623682
0.363202, 1.621655
0.364223, 1.619624
0.365244, 1.617588
0.366264, 1.615547
0.367285, 1.613502
0.368306, 1.611453
0.369326, 1.609400
0.370347, 1.607342
0.371367, 1.605279
0.372387, 1.603213
0.373408, 1.601142
0.374428, 1.599066
0.375448, 1.596987
0.376468, 1.594903
0.377488, 1.592815
0.378507, 1.590722
0.379527, 1.588625
0.380547, 1.586524
0.381566, 1.584419
0.382586, 1.582310
0.383605, 1.580196
0.384624, 1.578078
0.385643, 1.575955
0.386662, 1.573829
0.387681, 1.571698
0.388700, 1.569564
0.389719, 1.567425
0.390738, 1.565281
0.391757, 1.563134
0.392775, 1.560983
0.393794, 1.558827
0.394812, 1.556667
0.395831, 1.554504
0.396849, 1.552336
0.397867, 1.550164
0.398885, 1.547987
0.399903, 1.545807
0.400921, 1.543623
0.401939, 1.541435
0.402957, 1.539242
0.403975, 1.537046
0.404992, 1.534846
0.406010, 1.532641
0.407028, 1.530433
0.408045, 1.528220
0.409062, 1.526004
0.410080, 1.523784
