x_0, y
0.167860, 1.916263
0.169244, 1.914890
0.170631, 1.913503
0.172020, 1.912103
0.173412, 1.910689
0.174807, 1.909262
0.176204, 1.907821
0.177603, 1.906366
0.179005, 1.904898
0.180410, 1.903416
0.181816, 1.901921
0.183225, 1.900412
0.184637, 1.898890
0.186050, 1.897354
0.187466, 1.895804
0.188884, 1.894241
0.190305, 1.892664
0.191727, 1.891074
0.193151, 1.889469
0.194578, 1.887852
0.196007, 1.886220
0.197437, 1.884575
0.198870, 1.882917
0.200304, 1.881244
0.201741, 1.879558
0.203179, 1.877859
0.204619, 1.876146
0.206062, 1.874419
0.207505, 1.872679
0.208951, 1.870925
0.210398, 1.869157
0.211848, 1.867376
0.213298, 1.865581
0.214751, 1.863773
0.216205, 1.861951
0.217661, 1.860116
0.219118, 1.858267
0.220577, 1.856404
0.222038, 1.854528
0.223500, 1.852639
0.224963, 1.850736
0.226428, 1.848819
0.227895, 1.846889
0.229363, 1.844946
0.230832, 1.842989
0.232302, 1.841019
0.233774, 1.839035
0.235248, 1.837038
0.236722, 1.835028
0.238198, 1.833004
0.239675, 1.830967
0.241154, 1.828917
0.242633, 1.826853
0.244114, 1.824776
0.245596, 1.822686
0.247079, 1.820583
0.248563, 1.818466
0.250049, 1.816336
0.251535, 1.814193
0.253023, 1.812037
0.254511, 1.809868
0.256001, 1.807686
0.257491, 1.805491
0.258983, 1.803282
0.260475, 1.801061
0.261969, 1.798827
0.263463, 1.796579
0.264959, 1.794319
0.266455, 1.792046
0.267952, 1.789760
0.269450, 1.787461
0.270949, 1.785149
0.272449, 1.782825
0.273949, 1.780488
0.275450, 1.778138
0.276953, 1.775775
0.278455, 1.773400
0.279959, 1.771012
0.281463, 1.768611
0.282968, 1.766198
0.284474, 1.763773
0.285980, 1.761335
0.287487, 1.758884
0.288995, 1.756421
0.290503, 1.753946
0.292012, 1.751458
0.293521, 1.748958
0.295032, 1.746446
0.296542, 1.743921
0.298053, 1.741384
0.299565, 1.738835
0.301077, 1.736274
0.302590, 1.733701
0.304103, 1.731116
0.305617, 1.728519
0.307131, 1.725909
0.308646, 1.723288
0.310161, 1.720655
0.311676, 1.718010
0.313192, 1.715353
0.314709, 1.712685
0.316225, 1.710004
0.317742, 1.707312
0.319260, 1.704608
0.320778, 1.701893
0.322296, 1.699166
0.323814, 1.696428
0.325333, 1.693678
0.326852, 1.690917
0.328371, 1.688144
0.329891, 1.685360
0.331411, 1.682564
0.332931, 1.679757
0.334451, 1.676940
0.335972, 1.674110
0.337492, 1.671270
0.339013, 1.668419
0.340534, 1.665556
0.342056, 1.662683
0.343577, 1.659799
0.345099, 1.656904
0.346621, 1.653997
0.348143, 1.651081
0.349665, 1.648153
0.351187, 1.645215
0.352709, 1.642266
0.354231, 1.639306
0.355754, 1.636336
0.357276, 1.633355
0.358799, 1.630364
0.360321, 1.627362
0.361844, 1.624350
0.363366, 1.621328
0.364889, 1.618295
0.366412, 1.615253
0.367934, 1.612200
0.369457, 1.609136
0.370980, 1.606063
0.372502, 1.602980
0.374025, 1.599887
0.375547, 1.596784
0.377070, 1.593671
0.378592, 1.590548
0.380114, 1.587416
0.381636, 1.584274
0.383158, 1.581122
0.384680, 1.577961
0.386202, 1.574790
0.387724, 1.571609
0.389246, 1.568419
0.390767, 1.565220
0.392288, 1.562012
0.393810, 1.558794
0.395331, 1.555567
0.396851, 1.552330
0.398372, 1.549085
0.399892, 1.545831
0.401413, 1.542567
0.402933, 1.539295
0.404452, 1.536014
0.405972, 1.532724
0.407491, 1.529425
0.409010, 1.526117
0.410529, 1.522801
0.412048, 1.519476
0.413566, 1.516143
0.415084, 1.512801
0.416602, 1.509451
0.418119, 1.506092
0.419636, 1.502725
0.421153, 1.499350
0.422670, 1.495967
0.424186, 1.492575
0.425702, 1.489175
0.427217, 1.485768
0.428733, 1.482352
0.430247, 1.478928
0.431762, 1.475497
0.433276, 1.472057
0.434790, 1.468610
0.436303, 1.465156
0.437816, 1.461693
0.439329, 1.458224
0.440841, 1.454746
0.442353, 1.451261
0.443864, 1.447769
0.445375, 1.444270
0.446885, 1.440763
0.448396, 1.437249
0.449905, 1.433728
0.451414, 1.430200
0.452923, 1.426664
0.454431, 1.423122
0.455939, 1.419573
0.457446, 1.416017
0.458953, 1.412454
0.460460, 1.408885
0.461965, 1.405309
0.463471, 1.401726
0.464975, 1.398137
0.466480, 1.394541
0.467984, 1.390939
0.469487, 1.387330
0.470990, 1.383716
0.472492, 1.380095
0.473993, 1.376467
0.475494, 1.372834
0.476995, 1.369195
0.478495, 1.365549
0.479994, 1.361898
0.481493, 1.358241
0.482991, 1.354578
0.484489, 1.350909
0.485986, 1.347235
0.487482, 1.343555
0.488978, 1.339870
0.490473, 1.336179
0.491968, 1.332482
0.493462, 1.328780
0.494955, 1.325073
0.496448, 1.321361
0.497940, 1.317643
0.499431, 1.313921
0.500922, 1.310193
0.502412, 1.306461
0.503902, 1.302723
0.505390, 1.298981
0.506879, 1.295233
0.508366, 1.291481
0.509853, 1.287725
0.511339, 1.283964
0.512824, 1.280198
0.514309, 1.276428
0.515792, 1.272653
0.517276, 1.268874
0.518758, 1.265090
0.520240, 1.261303
0.521721, 1.257511
0.523201, 1.253715
0.524681, 1.249915
0.526159, 1.246112
0.527637, 1.242304
0.529115, 1.238492
0.530591, 1.234677
0.532067, 1.230858
0.533542, 1.227035
0.535016, 1.223209
0.536489, 1.219379
0.537962, 1.215545
0.539434, 1.211708
0.540905, 1.207868
0.542375, 1.204025
0.543844, 1.200178
0.545313, 1.196328
0.546781, 1.192476
0.548247, 1.188620
0.549714, 1.184761
0.551179, 1.180899
0.552643, 1.177035
0.554107, 1.173167
0.555569, 1.169297
0.557031, 1.165424
0.558492, 1.161549
0.559952, 1.157671
0.561412, 1.153791
0.562870, 1.149908
0.564328, 1.146023
0.565784, 1.142136
0.567240, 1.138247
0.568695, 1.134355
0.570149, 1.130461
0.571602, 1.126566
0.573054, 1.122668
0.574505, 1.118769
0.575955, 1.114867
0.577405, 1.110964
0.578853, 1.107059
0.580301, 1.103153
0.581747, 1.099245
0.583193, 1.095335
0.584638, 1.091424
0.586081, 1.087512
0.587524, 1.083598
0.588966, 1.079683
0.590407, 1.075767
0.591847, 1.071850
0.593286, 1.067932
0.594724, 1.064012
0.596161, 1.060092
0.597597, 1.056171
0.599032, 1.052249
0.600466, 1.048326
0.601899, 1.044403
0.603331, 1.040478
0.604761, 1.036554
0.606191, 1.032629
0.607620, 1.028703
0.609048, 1.024777
0.610475, 1.020851
0.611901, 1.016924
0.613326, 1.012997
0.614750, 1.009070
0.616172, 1.005143
0.617594, 1.001216
0.619015, 0.997289
0.620434, 0.993362
0.621853, 0.989435
0.623270, 0.985509
0.624686, 0.981582
0.626102, 0.977657
0.627516, 0.973731
0.628929, 0.969806
0.630341, 0.965881
0.631752, 0.961957
0.633162, 0.958034
0.634571, 0.954112
0.635978, 0.950190
0.637385, 0.946269
0.638790, 0.942349
0.640194, 0.938429
0.641598, 0.934511
0.643000, 0.930594
0.644401, 0.926678
0.645800, 0.922763
0.647199, 0.918850
0.648596, 0.914937
0.649993, 0.911027
0.651388, 0.907117
0.652782, 0.903209
0.654175, 0.899302
0.655567, 0.895398
0.656957, 0.891494
0.658346, 0.887593
0.659735, 0.883693
0.661122, 0.879795
0.662507, 0.875899
0.663892, 0.872005
0.665276, 0.868113
0.666658, 0.864223
0.668039, 0.860335
0.669419, 0.856449
0.670797, 0.852565
0.672175, 0.848684
0.673551, 0.844805
0.674926, 0.840928
0.676300, 0.837054
0.677672, 0.833183
0.679043, 0.829314
0.680413, 0.825447
0.681782, 0.821583
0.683150, 0.817722
0.684516, 0.813864
0.685881, 0.810009
0.687245, 0.806156
0.688607, 0.802306
0.689969, 0.798460
0.691329, 0.794616
0.692687, 0.790776
0.694045, 0.786939
0.695401, 0.783105
0.696756, 0.779274
0.698109, 0.775447
0.699462, 0.771622
0.700813, 0.767802
0.702162, 0.763985
