x_0, x_1, y
0.304667, -0.222609, 0.141896
0.303900, -0.221921, 0.141132
0.303136, -0.221234, 0.140371
0.302373, -0.220549, 0.139614
0.301611, -0.219866, 0.138860
0.300850, -0.219184, 0.138110
0.300091, -0.218504, 0.137363
0.299334, -0.217825, 0.136620
0.298577, -0.217148, 0.135880
0.297823, -0.216472, 0.135144
0.297069, -0.215798, 0.134411
0.296317, -0.215126, 0.133681
0.295567, -0.214455, 0.132955
0.294817, -0.213785, 0.132233
0.294069, -0.213117, 0.131514
0.293323, -0.212451, 0.130798
0.292578, -0.211786, 0.130085
0.291834, -0.211123, 0.129376
0.291092, -0.210461, 0.128671
0.290351, -0.209801, 0.127968
0.289612, -0.209142, 0.127269
0.288874, -0.208485, 0.126573
0.288137, -0.207829, 0.125881
0.287401, -0.207175, 0.125192
0.286667, -0.206522, 0.124506
0.285935, -0.205871, 0.123823
0.285204, -0.205222, 0.123144
0.284474, -0.204574, 0.122467
0.283745, -0.203927, 0.121794
0.283018, -0.203282, 0.121125
0.282292, -0.202639, 0.120458
0.281568, -0.201997, 0.119795
0.280845, -0.201356, 0.119134
0.280123, -0.200717, 0.118477
0.279403, -0.200080, 0.117823
0.278684, -0.199444, 0.117173
0.277966, -0.198809, 0.116525
0.277250, -0.198176, 0.115880
0.276535, -0.197545, 0.115239
0.275821, -0.196915, 0.114600
0.275109, -0.196286, 0.113965
0.274398, -0.195659, 0.113333
0.273689, -0.195034, 0.112704
0.272981, -0.194410, 0.112077
0.272274, -0.193787, 0.111454
0.271568, -0.193166, 0.110834
0.270864, -0.192546, 0.110217
0.270161, -0.191928, 0.109603
0.269460, -0.191311, 0.108992
0.268760, -0.190696, 0.108383
0.268061, -0.190082, 0.107778
0.267363, -0.189470, 0.107176
0.266667, -0.188859, 0.106576
0.265972, -0.188250, 0.105980
0.265279, -0.187642, 0.105386
0.264587, -0.187036, 0.104796
0.263896, -0.186431, 0.104208
0.263206, -0.185827, 0.103623
0.262518, -0.185225, 0.103041
0.261831, -0.184625, 0.102462
0.261146, -0.184025, 0.101885
0.260461, -0.183428, 0.101312
0.259778, -0.182831, 0.100741
0.259097, -0.182237, 0.100173
0.258416, -0.181643, 0.099608
0.257737, -0.181051, 0.099045
0.257060, -0.180461, 0.098486
0.256383, -0.179872, 0.097929
0.255708, -0.179284, 0.097375
0.255034, -0.178698, 0.096823
0.254362, -0.178113, 0.096275
0.253691, -0.177530, 0.095729
0.253021, -0.176948, 0.095186
0.252352, -0.176367, 0.094645
0.251685, -0.175788, 0.094107
0.251019, -0.175210, 0.093572
0.250354, -0.174634, 0.093039
0.249690, -0.174059, 0.092509
0.249028, -0.173486, 0.091982
0.248367, -0.172914, 0.091458
0.247708, -0.172343, 0.090935
0.247050, -0.171774, 0.090416
0.246392, -0.171206, 0.089899
0.245737, -0.170640, 0.089385
0.245082, -0.170075, 0.088873
0.244429, -0.169511, 0.088364
0.243777, -0.168949, 0.087858
0.243127, -0.168388, 0.087354
0.242477, -0.167829, 0.086852
0.241829, -0.167270, 0.086353
0.241182, -0.166714, 0.085857
0.240537, -0.166159, 0.085363
0.239892, -0.165605, 0.084871
0.239249, -0.165052, 0.084382
0.238608, -0.164501, 0.083895
0.237967, -0.163951, 0.083411
0.237328, -0.163403, 0.082930
0.236690, -0.162856, 0.082450
0.236053, -0.162310, 0.081974
0.235418, -0.161766, 0.081499
0.234783, -0.161223, 0.081027
0.234150, -0.160682, 0.080558
0.233519, -0.160142, 0.080090
0.232888, -0.159603, 0.079626
0.232259, -0.159065, 0.079163
0.231631, -0.158529, 0.078703
0.231004, -0.157995, 0.078245
0.230379, -0.157461, 0.077790
0.229755, -0.156929, 0.077337
0.229132, -0.156398, 0.076886
0.228510, -0.155869, 0.076437
0.227889, -0.155341, 0.075991
0.227270, -0.154815, 0.075547
0.226652, -0.154289, 0.075105
0.226035, -0.153765, 0.074666
0.225419, -0.153243, 0.074229
0.224805, -0.152721, 0.073794
0.224192, -0.152202, 0.073361
0.223580, -0.151683, 0.072931
0.222969, -0.151166, 0.072503
0.222360, -0.150650, 0.072077
0.221752, -0.150135, 0.071653
0.221145, -0.149622, 0.071231
0.220539, -0.149110, 0.070812
0.219934, -0.148599, 0.070394
0.219331, -0.148090, 0.069979
0.218729, -0.147582, 0.069566
0.218128, -0.147075, 0.069156
0.217528, -0.146570, 0.068747
0.216930, -0.146066, 0.068340
0.216332, -0.145563, 0.067936
0.215736, -0.145061, 0.067533
0.215141, -0.144561, 0.067133
0.214548, -0.144062, 0.066735
0.213955, -0.143565, 0.066339
0.213364, -0.143068, 0.065945
0.212774, -0.142574, 0.065553
0.212185, -0.142080, 0.065163
0.211597, -0.141587, 0.064775
0.211011, -0.141096, 0.064389
0.210425, -0.140607, 0.064005
0.209841, -0.140118, 0.063623
0.209258, -0.139631, 0.063244
0.208677, -0.139145, 0.062866
0.208096, -0.138660, 0.062490
0.207517, -0.138177, 0.062116
0.206939, -0.137695, 0.061744
0.206362, -0.137214, 0.061374
0.205786, -0.136734, 0.061006
0.205211, -0.136256, 0.060640
0.204638, -0.135779, 0.060276
0.204065, -0.135303, 0.059914
0.203494, -0.134829, 0.059553
0.202924, -0.134355, 0.059195
0.202356, -0.133883, 0.058839
0.201788, -0.133413, 0.058484
0.201222, -0.132943, 0.058131
0.200657, -0.132475, 0.057780
0.200093, -0.132008, 0.057432
0.199530, -0.131542, 0.057084
0.198968, -0.131078, 0.056739
0.198407, -0.130615, 0.056396
0.197848, -0.130153, 0.056054
0.197290, -0.129692, 0.055714
0.196733, -0.129232, 0.055376
0.196177, -0.128774, 0.055040
0.195622, -0.128317, 0.054706
0.195069, -0.127861, 0.054373
0.194516, -0.127407, 0.054043
0.193965, -0.126953, 0.053714
0.193415, -0.126501, 0.053386
0.192866, -0.126051, 0.053061
0.192318, -0.125601, 0.052737
0.191771, -0.125152, 0.052415
0.191226, -0.124705, 0.052095
0.190681, -0.124259, 0.051777
0.190138, -0.123815, 0.051460
0.189596, -0.123371, 0.051145
0.189055, -0.122929, 0.050831
0.188515, -0.122488, 0.050520
0.187976, -0.122048, 0.050210
0.187439, -0.121609, 0.049901
0.186902, -0.121171, 0.049595
0.186367, -0.120735, 0.049290
0.185833, -0.120300, 0.048986
0.185300, -0.119866, 0.048685
0.184768, -0.119433, 0.048385
0.184237, -0.119002, 0.048086
0.183708, -0.118572, 0.047790
0.183179, -0.118142, 0.047494
0.182652, -0.117715, 0.047201
0.182126, -0.117288, 0.046909
0.181600, -0.116862, 0.046619
0.181076, -0.116438, 0.046330
0.180553, -0.116015, 0.046043
0.180032, -0.115593, 0.045757
0.179511, -0.115172, 0.045473
0.178991, -0.114752, 0.045191
0.178473, -0.114334, 0.044910
0.177956, -0.113916, 0.044630
0.177439, -0.113500, 0.044352
0.176924, -0.113085, 0.044076
0.176410, -0.112671, 0.043801
0.175897, -0.112259, 0.043528
0.175386, -0.111847, 0.043256
0.174875, -0.111437, 0.042986
0.174365, -0.111028, 0.042717
0.173857, -0.110620, 0.042450
0.173349, -0.110213, 0.042184
0.172843, -0.109807, 0.041920
0.172338, -0.109402, 0.041657
0.171834, -0.108999, 0.041396
0.171331, -0.108597, 0.041136
0.170829, -0.108196, 0.040877
0.170328, -0.107796, 0.040620
0.169828, -0.107397, 0.040365
0.169330, -0.106999, 0.040111
0.168832, -0.106602, 0.039858
0.168335, -0.106207, 0.039606
0.167840, -0.105813, 0.039356
0.167346, -0.105419, 0.039108
0.166853, -0.105027, 0.038861
0.166360, -0.104636, 0.038615
0.165869, -0.104247, 0.038371
0.165379, -0.103858, 0.038128
0.164890, -0.103470, 0.037886
0.164403, -0.103084, 0.037646
0.163916, -0.102699, 0.037407
0.163430, -0.102314, 0.037169
0.162945, -0.101931, 0.036933
0.162462, -0.101549, 0.036698
0.161979, -0.101168, 0.036464
0.161498, -0.100789, 0.036232
0.161018, -0.100410, 0.036001
0.160538, -0.100032, 0.035771
0.160060, -0.099656, 0.035543
0.159583, -0.099280, 0.035316
0.159107, -0.098906, 0.035090
0.158632, -0.098533, 0.034866
0.158158, -0.098161, 0.034642
0.157685, -0.097790, 0.034420
0.157213, -0.097420, 0.034200
0.156742, -0.097051, 0.033980
0.156272, -0.096683, 0.033762
0.155803, -0.096317, 0.033545
