x_0, x_1, y
0.685784, -0.586088, 0.726901
0.684771, -0.585077, 0.725133
0.683758, -0.584067, 0.723362
0.682746, -0.583056, 0.721590
0.681733, -0.582046, 0.719816
0.680721, -0.581036, 0.718041
0.679709, -0.580026, 0.716265
0.678697, -0.579016, 0.714487
0.677686, -0.578007, 0.712707
0.676674, -0.576998, 0.710926
0.675663, -0.575989, 0.709144
0.674652, -0.574980, 0.707360
0.673641, -0.573971, 0.705575
0.672630, -0.572963, 0.703789
0.671620, -0.571954, 0.702002
0.670609, -0.570946, 0.700213
0.669599, -0.569938, 0.698424
0.668589, -0.568930, 0.696633
0.667579, -0.567923, 0.694841
0.666570, -0.566915, 0.693048
0.665560, -0.565908, 0.691254
0.664551, -0.564901, 0.689459
0.663542, -0.563894, 0.687663
0.662533, -0.562888, 0.685866
0.661524, -0.561881, 0.684068
0.660515, -0.560875, 0.682269
0.659507, -0.559869, 0.680469
0.658499, -0.558863, 0.678668
0.657491, -0.557857, 0.676867
0.656483, -0.556851, 0.675065
0.655475, -0.555846, 0.673262
0.654467, -0.554841, 0.671459
0.653460, -0.553836, 0.669654
0.652452, -0.552831, 0.667850
0.651445, -0.551826, 0.666044
0.650438, -0.550821, 0.664238
0.649431, -0.549817, 0.662431
0.648425, -0.548812, 0.660624
0.647418, -0.547808, 0.658816
0.646412, -0.546804, 0.657008
0.645406, -0.545801, 0.655199
0.644400, -0.544797, 0.653390
0.643394, -0.543793, 0.651581
0.642388, -0.542790, 0.649771
0.641382, -0.541787, 0.647961
0.640377, -0.540784, 0.646150
0.639371, -0.539781, 0.644340
0.638366, -0.538778, 0.642529
0.637361, -0.537776, 0.640717
0.636356, -0.536773, 0.638906
0.635352, -0.535771, 0.637094
0.634347, -0.534769, 0.635282
0.633343, -0.533767, 0.633470
0.632338, -0.532765, 0.631658
0.631334, -0.531764, 0.629846
0.630330, -0.530762, 0.628034
0.629326, -0.529761, 0.626222
0.628322, -0.528760, 0.624410
0.627319, -0.527759, 0.622598
0.626315, -0.526758, 0.620786
0.625312, -0.525757, 0.618974
0.624309, -0.524756, 0.617162
0.623306, -0.523756, 0.615350
0.622303, -0.522756, 0.613539
0.621300, -0.521755, 0.611727
0.620297, -0.520755, 0.609916
0.619295, -0.519756, 0.608105
0.618292, -0.518756, 0.606295
0.617290, -0.517756, 0.604484
0.616288, -0.516757, 0.602674
0.615286, -0.515757, 0.600865
0.614284, -0.514758, 0.599055
0.613282, -0.513759, 0.597246
0.612281, -0.512760, 0.595438
0.611279, -0.511761, 0.593630
0.610278, -0.510763, 0.591822
0.609277, -0.509764, 0.590015
0.608275, -0.508766, 0.588208
0.607274, -0.507768, 0.586402
0.606274, -0.506770, 0.584597
0.605273, -0.505772, 0.582792
0.604272, -0.504774, 0.580988
0.603272, -0.503776, 0.579184
0.602271, -0.502778, 0.577381
0.601271, -0.501781, 0.575578
0.600271, -0.500784, 0.573777
0.599271, -0.499787, 0.571976
0.598271, -0.498790, 0.570175
0.597271, -0.497793, 0.568376
0.596272, -0.496796, 0.566577
0.595272, -0.495799, 0.564779
0.594273, -0.494803, 0.562982
0.593273, -0.493806, 0.561186
0.592274, -0.492810, 0.559390
0.591275, -0.491814, 0.557596
0.590276, -0.490818, 0.555802
0.589277, -0.489822, 0.554010
0.588279, -0.488826, 0.552218
0.587280, -0.487830, 0.550428
0.586281, -0.486835, 0.548638
0.585283, -0.485839, 0.546849
0.584285, -0.484844, 0.545062
