x_0, x_1, y
0.585359, -0.520319, 0.575632
0.584401, -0.519468, 0.573991
0.583444, -0.518617, 0.572352
0.582487, -0.517767, 0.570713
0.581531, -0.516916, 0.569075
0.580574, -0.516066, 0.567438
0.579618, -0.515216, 0.565802
0.578662, -0.514367, 0.564166
0.577707, -0.513517, 0.562532
0.576752, -0.512668, 0.560899
0.575797, -0.511819, 0.559267
0.574842, -0.510971, 0.557635
0.573888, -0.510122, 0.556005
0.572934, -0.509274, 0.554376
0.571980, -0.508427, 0.552749
0.571027, -0.507579, 0.551122
0.570074, -0.506732, 0.549497
0.569121, -0.505885, 0.547873
0.568169, -0.505039, 0.546250
0.567217, -0.504193, 0.544628
0.566266, -0.503347, 0.543008
0.565315, -0.502502, 0.541390
0.564364, -0.501657, 0.539772
0.563414, -0.500812, 0.538156
0.562464, -0.499968, 0.536542
0.561515, -0.499124, 0.534929
0.560566, -0.498281, 0.533318
0.559618, -0.497438, 0.531708
0.558670, -0.496595, 0.530100
0.557722, -0.495753, 0.528494
0.556775, -0.494911, 0.526889
0.555829, -0.494070, 0.525286
0.554883, -0.493229, 0.523685
0.553938, -0.492389, 0.522085
0.552993, -0.491549, 0.520487
0.552048, -0.490710, 0.518891
0.551104, -0.489871, 0.517297
0.550161, -0.489032, 0.515705
0.549218, -0.488194, 0.514114
0.548276, -0.487357, 0.512526
0.547335, -0.486520, 0.510939
0.546394, -0.485683, 0.509354
0.545453, -0.484847, 0.507772
0.544514, -0.484012, 0.506191
0.543574, -0.483177, 0.504613
0.542636, -0.482343, 0.503036
0.541698, -0.481509, 0.501462
0.540760, -0.480676, 0.499890
0.539824, -0.479843, 0.498319
0.538888, -0.479011, 0.496751
0.537952, -0.478180, 0.495186
0.537018, -0.477349, 0.493622
0.536084, -0.476519, 0.492061
0.535150, -0.475689, 0.490502
0.534217, -0.474860, 0.488945
0.533285, -0.474031, 0.487391
0.532354, -0.473204, 0.485839
0.531423, -0.472376, 0.484289
0.530494, -0.471550, 0.482742
0.529564, -0.470724, 0.481197
0.528636, -0.469899, 0.479654
0.527708, -0.469074, 0.478114
0.526781, -0.468250, 0.476577
0.525855, -0.467427, 0.475042
0.524930, -0.466604, 0.473509
0.524005, -0.465782, 0.471979
0.523081, -0.464961, 0.470451
0.522158, -0.464140, 0.468927
0.521235, -0.463320, 0.467404
0.520314, -0.462501, 0.465884
0.519393, -0.461683, 0.464367
0.518473, -0.460865, 0.462853
0.517554, -0.460048, 0.461341
0.516635, -0.459232, 0.459832
0.515718, -0.458416, 0.458325
0.514801, -0.457601, 0.456822
0.513885, -0.456787, 0.455321
0.512970, -0.455974, 0.453823
0.512056, -0.455161, 0.452327
0.511143, -0.454349, 0.450834
0.510230, -0.453538, 0.449345
0.509319, -0.452728, 0.447858
0.508408, -0.451918, 0.446373
0.507498, -0.451109, 0.444892
0.506589, -0.450301, 0.443414
0.505681, -0.449494, 0.441938
0.504774, -0.448688, 0.440465
0.503867, -0.447882, 0.438996
0.502962, -0.447077, 0.437529
0.502057, -0.446273, 0.436065
0.501154, -0.445470, 0.434604
0.500251, -0.444667, 0.433146
0.499349, -0.443866, 0.431691
0.498448, -0.443065, 0.430239
0.497548, -0.442265, 0.428790
0.496649, -0.441466, 0.427344
0.495751, -0.440668, 0.425901
0.494854, -0.439870, 0.424461
0.493958, -0.439074, 0.423024
0.493063, -0.438278, 0.421591
0.492169, -0.437483, 0.420160
0.491276, -0.436689, 0.418733
0.490383, -0.435896, 0.417308
0.489492, -0.435104, 0.415887
0.488602, -0.434313, 0.414469
0.487712, -0.433522, 0.413054
0.486824, -0.432732, 0.411642
0.485937, -0.431944, 0.410233
0.485050, -0.431156, 0.408828
0.484165, -0.430369, 0.407426
0.483281, -0.429583, 0.406026
0.482397, -0.428798, 0.404631
0.481515, -0.428013, 0.403238
0.480634, -0.427230, 0.401848
0.479754, -0.426448, 0.400462
0.478874, -0.425666, 0.399079
0.477996, -0.424886, 0.397700
0.477119, -0.424106, 0.396323
0.476243, -0.423327, 0.394950
0.475368, -0.422549, 0.393580
0.474494, -0.421772, 0.392213
0.473621, -0.420996, 0.390850
0.472749, -0.420221, 0.389490
0.471878, -0.419447, 0.388133
