x_0, y
0.351524, 1.644562
0.353459, 1.640808
0.355404, 1.637020
0.357356, 1.633197
0.359318, 1.629341
0.361288, 1.625450
0.363267, 1.621525
0.365255, 1.617564
0.367252, 1.613569
0.369257, 1.609539
0.371271, 1.605473
0.373294, 1.601372
0.375326, 1.597235
0.377367, 1.593063
0.379416, 1.588854
0.381474, 1.584610
0.383541, 1.580329
0.385616, 1.576012
0.387700, 1.571659
0.389794, 1.567268
0.391895, 1.562841
0.394006, 1.558377
0.396125, 1.553876
0.398254, 1.549338
0.400390, 1.544763
0.402536, 1.540150
0.404690, 1.535499
0.406853, 1.530811
0.409025, 1.526085
0.411205, 1.521322
0.413395, 1.516520
0.415592, 1.511680
0.417799, 1.506802
0.420014, 1.501886
0.422238, 1.496932
0.424470, 1.491939
0.426711, 1.486908
0.428960, 1.481838
0.431218, 1.476729
0.433485, 1.471582
0.435760, 1.466397
0.438044, 1.461172
0.440336, 1.455909
0.442636, 1.450607
0.444945, 1.445266
0.447262, 1.439887
0.449588, 1.434468
0.451922, 1.429011
0.454264, 1.423514
0.456615, 1.417979
0.458974, 1.412405
0.461341, 1.406792
0.463716, 1.401141
0.466100, 1.395450
0.468491, 1.389721
0.470891, 1.383953
0.473299, 1.378146
0.475714, 1.372301
0.478138, 1.366417
0.480570, 1.360495
0.483009, 1.354535
0.485456, 1.348536
0.487911, 1.342499
0.490374, 1.336423
0.492845, 1.330310
0.495323, 1.324159
0.497809, 1.317970
0.500302, 1.311744
0.502803, 1.305480
0.505312, 1.299179
0.507827, 1.292841
0.510351, 1.286465
0.512881, 1.280053
0.515419, 1.273604
0.517963, 1.267119
0.520515, 1.260598
0.523074, 1.254041
0.525640, 1.247447
0.528213, 1.240819
0.530793, 1.234155
0.533380, 1.227456
0.535973, 1.220722
0.538573, 1.213953
0.541179, 1.207151
0.543792, 1.200314
0.546412, 1.193444
0.549038, 1.186540
0.551670, 1.179603
0.554309, 1.172634
0.556953, 1.165632
0.559604, 1.158598
0.562260, 1.151532
0.564923, 1.144435
0.567591, 1.137307
0.570266, 1.130149
0.572945, 1.122960
0.575631, 1.115741
0.578321, 1.108493
0.581018, 1.101217
0.583719, 1.093911
0.586426, 1.086578
0.589138, 1.079217
0.591855, 1.071828
0.594577, 1.064413
0.597303, 1.056972
0.600035, 1.049505
0.602771, 1.042013
0.605511, 1.034496
0.608256, 1.026954
0.611006, 1.019390
0.613759, 1.011801
0.616517, 1.004191
0.619279, 0.996558
0.622045, 0.988904
0.624814, 0.981228
0.627587, 0.973533
0.630364, 0.965817
0.633144, 0.958083
0.635928, 0.950330
0.638715, 0.942559
0.641505, 0.934770
0.644298, 0.926965
0.647094, 0.919144
0.649893, 0.911307
0.652694, 0.903456
0.655498, 0.895590
0.658304, 0.887711
0.661113, 0.879819
0.663924, 0.871915
0.666737, 0.864000
0.669552, 0.856074
0.672368, 0.848138
0.675187, 0.840193
0.678007, 0.832239
0.680828, 0.824277
0.683651, 0.816308
0.686474, 0.808333
0.689299, 0.800351
0.692125, 0.792365
0.694952, 0.784375
0.697779, 0.776381
0.700606, 0.768385
0.703434, 0.760387
0.706263, 0.752387
0.709091, 0.744387
0.711920, 0.736388
0.714748, 0.728389
0.717576, 0.720393
0.720403, 0.712399
0.723230, 0.704408
0.726056, 0.696422
0.728882, 0.688441
0.731706, 0.680465
0.734529, 0.672496
0.737351, 0.664535
0.740172, 0.656581
0.742991, 0.648637
0.745808, 0.640702
0.748624, 0.632778
0.751437, 0.624865
0.754249, 0.616964
0.757058, 0.609076
0.759864, 0.601202
0.762669, 0.593342
0.765470, 0.585497
0.768269, 0.577668
0.771065, 0.569856
0.773857, 0.562062
0.776647, 0.554286
0.779433, 0.546528
0.782215, 0.538791
0.784994, 0.531074
0.787769, 0.523379
0.790540, 0.515705
0.793308, 0.508054
0.796070, 0.500427
0.798829, 0.492824
0.801583, 0.485246
0.804332, 0.477694
0.807077, 0.470168
0.809816, 0.462670
0.812551, 0.455199
0.815280, 0.447757
0.818004, 0.440343
0.820723, 0.432960
0.823436, 0.425607
0.826143, 0.418286
0.828845, 0.410996
0.831540, 0.403739
0.834229, 0.396514
0.836913, 0.389324
0.839589, 0.382168
0.842259, 0.375047
0.844923, 0.367961
0.847580, 0.360912
0.850230, 0.353899
0.852873, 0.346924
0.855508, 0.339986
0.858137, 0.333087
0.860758, 0.326226
0.863371, 0.319406
0.865977, 0.312625
0.868576, 0.305884
0.871166, 0.299184
0.873748, 0.292526
0.876323, 0.285910
0.878889, 0.279336
0.881447, 0.272804
0.883996, 0.266316
0.886537, 0.259871
0.889069, 0.253471
0.891592, 0.247114
0.894107, 0.240803
0.896612, 0.234536
0.899109, 0.228315
0.901596, 0.222140
0.904074, 0.216011
0.906543, 0.209929
0.909002, 0.203893
0.911452, 0.197904
0.913892, 0.191962
0.916322, 0.186068
0.918742, 0.180222
0.921153, 0.174423
0.923553, 0.168673
0.925943, 0.162972
0.928324, 0.157319
0.930693, 0.151715
0.933053, 0.146160
0.935402, 0.140654
0.937741, 0.135197
0.940069, 0.129790
0.942386, 0.124432
0.944693, 0.119124
0.946988, 0.113866
0.949273, 0.108657
0.951547, 0.103499
0.953810, 0.098390
0.956062, 0.093331
0.958303, 0.088323
0.960533, 0.083364
0.962751, 0.078456
0.964958, 0.073597
0.967154, 0.068788
0.969338, 0.064030
0.971511, 0.059321
0.973672, 0.054663
0.975822, 0.050054
0.977960, 0.045495
0.980086, 0.040985
0.982201, 0.036526
0.984304, 0.032115
0.986395, 0.027754
0.988475, 0.023443
0.990542, 0.019180
0.992598, 0.014967
0.994642, 0.010802
0.996674, 0.006686
0.998693, 0.002618
1.000701, -0.001401
1.002697, -0.005372
1.004681, -0.009296
1.006652, -0.013171
1.008612, -0.016999
1.010559, -0.020780
1.012495, -0.024513
1.014418, -0.028200
1.016329, -0.031840
1.018228, -0.035434
1.020114, -0.038982
1.021989, -0.042484
1.023851, -0.045941
1.025701, -0.049352
1.027539, -0.052718
1.029364, -0.056040
1.031178, -0.059317
1.032979, -0.062550
1.034768, -0.065740
1.036545, -0.068886
1.038309, -0.071988
1.040061, -0.075048
1.041801, -0.078066
1.043529, -0.081041
1.045245, -0.083974
1.046949, -0.086866
1.048640, -0.089717
1.050320, -0.092527
1.051987, -0.095296
1.053642, -0.098026
1.055285, -0.100715
1.056916, -0.103365
1.058535, -0.105976
1.060142, -0.108549
1.061736, -0.111083
1.063319, -0.113579
1.064890, -0.116038
1.066449, -0.118459
1.067996, -0.120843
1.069532, -0.123191
1.071055, -0.125503
1.072567, -0.127780
